"train 1, 2,val",recall,baseline,0,30,83,84,85,85.4,85.8,86,86.2,86.4
"['5192', '35715', '7813']",1,50,0,0,0,0,0,0,0,50,0,0
"train 1, 2,val",recall,baseline,0,30,83,84,85,85.4,85.8,86,86.2,86.4
"['0', '4096', '905']",1,50,0,0,0,0,0,0,27,0,0,0
"train 1, 2,val",recall,baseline,0,30,83,84,85,85.4,85.8,86,86.2,86.4
"['235', '905', '4096']",1,50,0,0,0,0,0,0,0,18,29,0
"train 1, 2,val",recall,baseline,0,30,83,84,85,85.4,85.8,86,86.2,86.4
"['235', '16860', '4096']",1,50,0,0,0,0,0,0,0,16,31,0
"train 1, 2,val",recall,baseline,0,30,83,84,85,85.4,85.8,86,86.2,86.4
"['905', '11946', '4096']",1,50,0,0,0,0,0,0,0,34,25,0
"train 1, 2,val",recall,baseline,0,30,83,84,85,85.4,85.8,86,86.2,86.4
"['905', '16860', '4096']",1,50,0,0,0,0,0,0,0,7,23,0
"train 1, 2,val",recall,baseline,0,30,83,84,85,85.4,85.8,86,86.2,86.4
"['16860', '35715', '7813']",1,50,0,0,0,0,0,0,0,50,0,0
"train 1, 2,val",recall,baseline,0,30,83,84,85,85.4,85.8,86,86.2,86.4
"['235', '7813', '11946']",1,50,0,0,0,0,0,0,0,28,0,0
"train 1, 2,val",recall,baseline,0,30,83,84,85,85.4,85.8,86,86.2,86.4
"['235', '35715', '11946']",1,50,0,0,0,0,0,0,0,50,0,46
